Primer Autor	Año Publicación	Tipo Producto	Journal	
Y. Guan	2021	CONF	2021 American Control Conference (ACC)	
P. Xenopoulos	2023	JOUR	IEEE Transactions on Visualization and Computer Graphics	
M. L. Shooman	2015	CONF	2015 IEEE 26th International Symposium on Software Reliability Engineering (ISSRE)	
G. Kim	2013	CONF	2013 IEEE International Conference on Computer Vision Workshops	
B. -W. Chen	2023	CONF	2023 IEEE 33rd International Workshop on Machine Learning for Signal Processing (MLSP)	
J. Tharmaseelan	2021	CONF	2021 IEEE Global Engineering Education Conference (EDUCON)	
M. Gallo	2011	CONF	Proceedings of the 2011 Winter Simulation Conference (WSC)	
P. Singh	2022	CONF	2022 Third International Conference on Intelligent Computing Instrumentation and Control Technologies (ICICICT)	
Q. Xu	2011	JOUR	IEEE Transactions on Education	
A. Pitti	2022	JOUR	IEEE Transactions on Cognitive and Developmental Systems	
S. Saeidlou	2014	CONF	2014 IEEE International Conference on Systems, Man, and Cybernetics (SMC)	
L. K. Kreuger	2016	CONF	2016 Winter Simulation Conference (WSC)	
A. S. Barroso	2016	CONF	2016 8th Euro American Conference on Telematics and Information Systems (EATIS)	
S. Uludag	2014	CONF	2014 IEEE Frontiers in Education Conference (FIE) Proceedings	
M. R. Farcasescu	2012	CONF	2012 14th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing	
M. N. A. Khalid	2016	CONF	2016 International Conference On Advanced Informatics: Concepts, Theory And Application (ICAICTA)	
M. Ouadoud	2018	CONF	2018 IEEE 5th International Congress on Information Science and Technology (CiSt)	
A. Kale	2024	JOUR	IEEE Transactions on Visualization and Computer Graphics	
B. Ireri	2017	CONF	2017 IST-Africa Week Conference (IST-Africa)	
M. Mushi	2022	CONF	IEEE INFOCOM 2022 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS)	
C. Sharma	2021	CONF	2021 12th International Conference on Computing Communication and Networking Technologies (ICCCNT)	
B. Kenwright	2016	CONF	2016 Future Technologies Conference (FTC)	
P. Seda	2018	CONF	2018 10th International Congress on Ultra Modern Telecommunications and Control Systems and Workshops (ICUMT)	
D. Song	2020	CONF	2020 IEEE International Conference on Knowledge Graph (ICKG)	
A. Choudhary	2022	CONF	2022 6th International Conference on Electronics, Communication and Aerospace Technology	
T. Nakashika	2021	JOUR	IEEE/ACM Transactions on Audio, Speech, and Language Processing	
A. AL-Fallooji	2023	CONF	2023 Second International Conference on Advanced Computer Applications (ACA)	
R. Giachetti	2018	CONF	2018 IEEE 26th International Requirements Engineering Conference (RE)	
Z. Wharton	2018	CONF	2018 15th IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS)	
X. Li	2024	JOUR	IEEE Geoscience and Remote Sensing Magazine	
M. Marchiori	2016	CONF	2016 Intl IEEE Conferences on Ubiquitous Intelligence & Computing, Advanced and Trusted Computing, Scalable Computing and Communications, Cloud and Big Data Computing, Internet of People, and Smart World Congress (UIC/ATC/ScalCom/CBDCom/IoP/SmartWorld)	
A. A. Abdelgawad	2016	CONF	2016 UKSim-AMSS 18th International Conference on Computer Modelling and Simulation (UKSim)	
T. -T. -T. Huynh	2018	CONF	2018 5th NAFOSTED Conference on Information and Computer Science (NICS)	
N. Schaetti	2019	CONF	2019 International Joint Conference on Neural Networks (IJCNN)	
X. Zhou	2016	CONF	2016 IEEE 14th Intl Conf on Dependable, Autonomic and Secure Computing, 14th Intl Conf on Pervasive Intelligence and Computing, 2nd Intl Conf on Big Data Intelligence and Computing and Cyber Science and Technology Congress(DASC/PiCom/DataCom/CyberSciTech)	
E. Falcão	2022	CONF	2022 IEEE International Conference on Cloud Computing Technology and Science (CloudCom)	
V. Yadav	2022	CONF	2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE)	
J. -C. Martinez-Arias	2013	CONF	2013 IEEE Frontiers in Education Conference (FIE)	
K. Elhussein	2013	CONF	2013 INTERNATIONAL CONFERENCE ON COMPUTING, ELECTRICAL AND ELECTRONIC ENGINEERING (ICCEEE)	
R. M. H. Hamad	2018	CONF	2018 International Arab Conference on Information Technology (ACIT)	
A. Chechulin	2024	CONF	2024 16th International Conference on COMmunication Systems & NETworkS (COMSNETS)	
F. Wang	2018	CONF	2018 24th International Conference on Pattern Recognition (ICPR)	
N. A. Visnevski	2010	CONF	2010 IEEE Aerospace Conference	
M. A. Thalor	2023	CONF	2023 3rd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE)	
B. Wang	2023	JOUR	IEEE Transactions on Pattern Analysis and Machine Intelligence	
J. Chandra	2023	CONF	2023 14th International Conference on Computing Communication and Networking Technologies (ICCCNT)	
C. C. Wong	2013	CONF	2013 International Conference on Informatics, Electronics and Vision (ICIEV)	
D. F. Reilly	2009	CONF	2009 42nd Hawaii International Conference on System Sciences	
M. Howell	2014	CONF	Proceedings of the Winter Simulation Conference 2014	
A. Zainal Abidin	2011	CONF	2011 3rd International Congress on Engineering Education (ICEED)	
R. Das	2022	CONF	2022 IEEE 11th International Conference on Communication Systems and Network Technologies (CSNT)	
U. Ninrutsirikun	2021	JOUR	Journal of Web Engineering	
G. Hull	2023	JOUR	Journal of Social Computing	
L. P. Khan	2023	CONF	2023 Fifth International Conference on Electrical, Computer and Communication Technologies (ICECCT)	
J. Dutta	2023	CONF	2023 IEEE International Conference on Edge Computing and Communications (EDGE)	
A. Wells	2022	CONF	2022 17th ACM/IEEE International Conference on Human-Robot Interaction (HRI)	
A. A. Azmee	2023	CONF	2023 IEEE 47th Annual Computers, Software, and Applications Conference (COMPSAC)	
W. Bai	2017	JOUR	IEEE Internet Computing	
R. Sun	2023	CONF	2023 5th International Conference on Computer Science and Technologies in Education (CSTE)	
K. V. Vasantrao	2011	CONF	2011 International Conference on Communication Systems and Network Technologies	
Y. Huang	2022	CONF	2022 Global Reliability and Prognostics and Health Management (PHM-Yantai)	
M. Maggio	2010	CONF	49th IEEE Conference on Decision and Control (CDC)	
Y. Chen	2018	CONF	2018 IEEE 3rd Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)	
A. M. Chitongo	2017	CONF	2017 Portland International Conference on Management of Engineering and Technology (PICMET)	
S. Ksibi	2023	CONF	2023 International Wireless Communications and Mobile Computing (IWCMC)	
P. Singla	2018	CONF	2018 IEEE 25th International Conference on High Performance Computing (HiPC)	
V. Kulkarni	2016	CONF	2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C)	
D. Babichenko	2020	CONF	2020 IEEE 8th International Conference on Serious Games and Applications for Health (SeGAH)	
P. A. Fishwick	2012	CONF	Proceedings of the 2012 Winter Simulation Conference (WSC)	
W. D. Moscoso	2015	CONF	2015 Latin American Computing Conference (CLEI)	
Y. Li	2020	CONF	2020 IEEE Frontiers in Education Conference (FIE)	
Y. Li	2022	CONF	2022 5th International Conference on Artificial Intelligence and Big Data (ICAIBD)	
J. Guo	2013	CONF	2013 International Conference on Cyberworlds	
J. Zhang	2023	CONF	2023 International Conference on Applied Intelligence and Sustainable Computing (ICAISC)	
M. Aydin	2016	CONF	2016 European Intelligence and Security Informatics Conference (EISIC)	
N. Hans	2023	CONF	2023 International Conference on IoT, Communication and Automation Technology (ICICAT)	
S. Mishra	2023	CONF	2023 3rd International Conference on Advances in Computing, Communication, Embedded and Secure Systems (ACCESS)	
D. Hur	2013	CONF	2013 2nd IAPR Asian Conference on Pattern Recognition	
M. S. A. Magboo	2024	CONF	2024 International Conference on Computer, Information and Telecommunication Systems (CITS)	
L. Pan	2022	CONF	2022 IEEE International Conference on Real-time Computing and Robotics (RCAR)	
S. B. Goyal	2012	CONF	2012 Second International Conference on Advanced Computing & Communication Technologies	
R. Wu	2023	CONF	2023 IEEE International Conference on Medical Artificial Intelligence (MedAI)	
Ren Feiyi	2015	CONF	2015 12th IEEE International Conference on Electronic Measurement & Instruments (ICEMI)	
B. Charoenwong	2023	JOUR	IEEE Access	
S. Yasmin	2024	CONF	2024 IEEE 7th International Conference on Advanced Technologies, Signal and Image Processing (ATSIP)	
P. K. Gupta	2019	CONF	2019 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE)	
F. Zhu	2009	CONF	2009 6th Annual International Mobile and Ubiquitous Systems: Networking & Services, MobiQuitous	
H. A. S. Ali	2023	CONF	2023 International Conference on Sustainable Computing and Smart Systems (ICSCSS)	
Q. Liu	2017	CONF	2017 13th International Conference on Semantics, Knowledge and Grids (SKG)	
C. Zhu	2023	CONF	2023 IEEE International Conference on Image Processing and Computer Applications (ICIPCA)	
D. -M. Shiah	2011	CONF	2011 International Conference of Soft Computing and Pattern Recognition (SoCPaR)	
E. Vlachonasiou	2013	CONF	2013 9th International Conference on Intelligent Environments	
S. R. Powell	2010	CONF	2010 Wireless Telecommunications Symposium (WTS)	
G. Li	2024	CONF	2024 International Joint Conference on Neural Networks (IJCNN)	
T. T. Chen	2018	CONF	2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC)	
M. Gautam	2024	CONF	2024 11th International Conference on Computing for Sustainable Global Development (INDIACom)	
H. Schrödl	2014	CONF	2014 47th Hawaii International Conference on System Sciences	
A. Vashist	2023	CONF	2023 3rd International Conference on Smart Generation Computing, Communication and Networking (SMART GENCON)	
A. Rajput	2020	CONF	2020 8th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)	
S. E. V. Somanathan Pillai	2024	CONF	2024 International Conference on Distributed Computing and Optimization Techniques (ICDCOT)	
H. Wu	2022	CONF	2022 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery (CyberC)	
S. G	2024	CONF	2024 4th International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE)	
H. Nieto-Chaupis	2023	CONF	2023 International Conference on Electrical, Communication and Computer Engineering (ICECCE)	
C. Berg	2012	CONF	2012 Seventh International Conference on P2P, Parallel, Grid, Cloud and Internet Computing	
J. E. Bardram	2022	JOUR	IEEE Pervasive Computing	
S. Hammer	2024	CONF	2024 IEEE Global Engineering Education Conference (EDUCON)	
G. Khan	2022	CONF	2022 Fourth International Conference on Emerging Research in Electronics, Computer Science and Technology (ICERECT)	
Y. Wang	2022	CONF	2022 IEEE Conference on Telecommunications, Optics and Computer Science (TOCS)	
L. Chen	2023	CONF	2023 International Conference on Computer Engineering and Distance Learning (CEDL)	
B. Zou	2024	CONF	2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	
Y. Liu	2023	CONF	2023 IEEE International Conference on Unmanned Systems (ICUS)	
J. Zhang	2015	CONF	2015 4th International Conference on Computer Science and Network Technology (ICCSNT)	
D. Dietrich	2013	CONF	IECON 2013 - 39th Annual Conference of the IEEE Industrial Electronics Society	
S. Sasikumar	2022	CONF	2022 6th International Conference on Intelligent Computing and Control Systems (ICICCS)	
Alain Cardon	2018	CHAP	No encontrado	
Q. Wang	2020	CONF	2020 Annual Reliability and Maintainability Symposium (RAMS)	
K. Xu	2024	CONF	2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	
S. Karmakar	2023	CONF	2023 International Conference on Inventive Computation Technologies (ICICT)	
W. Huang	2024	JOUR	IEEE Transactions on Cognitive and Developmental Systems	
J. Shi	2022	CONF	2022 6th Asian Conference on Artificial Intelligence Technology (ACAIT)	
D. P. Kumar	2024	CONF	2024 International Conference on Communication, Computer Sciences and Engineering (IC3SE)	
N. Pristupchik	2020	CONF	2020 International Conference on Actual Problems of Electron Devices Engineering (APEDE)	
N. Adeel	2023	CONF	2023 6th International Conference on Contemporary Computing and Informatics (IC3I)	
A. Gopu	2023	CONF	2023 IEEE International Conference on Contemporary Computing and Communications (InC4)	
M. Marathe	2015	CONF	2015 IEEE International Parallel and Distributed Processing Symposium	
P. Liu	2024	JOUR	IEEE Transactions on Fuzzy Systems	
J. Yang	2016	JOUR	Proceedings of the IEEE	
V. S. Mohan	2018	CONF	2018 IEEE Security and Privacy Workshops (SPW)	
R. Kobayashi	2019	CONF	2019 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)	
C. Ai	2023	JOUR	IEEE Transactions on Artificial Intelligence	
W. Yang	2022	CONF	2022 IEEE International Parallel and Distributed Processing Symposium (IPDPS)	
T. J. Berkmans	2022	CONF	2022 International Conference on Power, Energy, Control and Transmission Systems (ICPECTS)	
N. N. Pokrovskaia	2022	CONF	2022 Conference of Russian Young Researchers in Electrical and Electronic Engineering (ElConRus)	
S. Yang	2024	JOUR	IEEE Robotics and Automation Letters	
R. M. Rodriguez	2012	JOUR	IEEE Transactions on Fuzzy Systems	
T. He	2023	JOUR	IEEE Transactions on Image Processing	
M. -J. Ojeda-Bazaran	2021	CONF	2021 XVI Latin American Conference on Learning Technologies (LACLO)	
B. Nuseibeh	2019	CONF	2019 IEEE 27th International Requirements Engineering Conference (RE)	
No encontrado	2022	CHAP	No encontrado	
No encontrado	2022	CHAP	No encontrado	
No encontrado	2022	CHAP	No encontrado	
A. Al-Jarrah	2014	CONF	2014 IEEE Frontiers in Education Conference (FIE) Proceedings	
I. Jung	2016	CONF	2016 15th International Conference on Information Technology Based Higher Education and Training (ITHET)	
M. Oprea	2021	CONF	2021 23rd International Conference on Control Systems and Computer Science (CSCS)	
F. Ke	2020	CONF	2020 IEEE Frontiers in Education Conference (FIE)	
S. Schmeelk	2017	CONF	2017 IEEE Frontiers in Education Conference (FIE)	
N. V. Mendoza Diaz	2023	CONF	2023 IEEE Frontiers in Education Conference (FIE)	
D. Rus	2021	CONF	2021 20th International Symposium on Parallel and Distributed Computing (ISPDC)	
Warren Sack	2019	CHAP	No encontrado	
Mark C. Marino	2020	CHAP	No encontrado	
No encontrado	2023	CHAP	No encontrado	
J. Parham-Mocello	2023	CONF	2023 IEEE Frontiers in Education Conference (FIE)	
D. Miao	2022	JOUR	IEEE Access	
G. Mu	2024	JOUR	IEEE Access	
Y. Wang	2024	JOUR	IEEE Access	
J. Jin	2024	JOUR	IEEE Access	
W. Reus	2020	CONF	2020 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)	
S. Labou	2019	CONF	2019 15th International Conference on eScience (eScience)	
R. R. Lutz	2016	CONF	2016 IEEE 24th International Requirements Engineering Conference (RE)	
W. Wang	2013	CONF	2013 IEEE International Conference on Bioinformatics and Biomedicine	
Ed Finn	2017	CHAP	No encontrado	
T. Bansho	2022	CONF	2022 Nicograph International (NicoInt)	
T. Yamamoto	2018	CONF	2018 Conference on Technologies and Applications of Artificial Intelligence (TAAI)	
C. V. Haar	2020	CONF	2020 IEEE Learning With MOOCS (LWMOOCS)	
H. Albadr	2018	CONF	2018 IEEE Global Engineering Education Conference (EDUCON)	
No encontrado	2022	CHAP	No encontrado	
No encontrado	2022	CHAP	No encontrado	
No encontrado	2022	CHAP	No encontrado	
A. Thongpool	2022	CONF	2022 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC)	
No encontrado	2022	CHAP	No encontrado	
No encontrado	2022	CHAP	No encontrado	
A. Batool	2023	CONF	2023 IEEE/ACM 45th International Conference on Software Engineering: Software Engineering in Society (ICSE-SEIS)	
Olaf Groth	2023	CHAP	No encontrado	
B. Zhu	2014	JOUR	IEEE Transactions on Fuzzy Systems	
M. Kothandapani	2015	JOUR	IEEE Transactions on NanoBioscience	
J. Zhan	2023	JOUR	IEEE Transactions on Fuzzy Systems	
K. Trawiński	2013	JOUR	IEEE Transactions on Fuzzy Systems	
X. Gao	2023	JOUR	IEEE Transactions on Fuzzy Systems	
J. Gao	2023	JOUR	IEEE Transactions on Fuzzy Systems	
T. M. de Lima	2024	JOUR	IEEE Transactions on Fuzzy Systems	
X. Han	2024	JOUR	IEEE Transactions on Fuzzy Systems	
X. Miao	2014	CONF	2014 China International Conference on Electricity Distribution (CICED)	
S. Saha	2014	CONF	The 8th International Conference on Software, Knowledge, Information Management and Applications (SKIMA 2014)	
T. Prudhvi	2023	CONF	2023 International Conference on Intelligent Technologies for Sustainable Electric and Communications Systems (iTech SECOM)	
P. Plaza	2018	CONF	2018 IEEE Frontiers in Education Conference (FIE)	
Q. Cheng	2022	CONF	2022 IEEE Frontiers in Education Conference (FIE)	
J. Melo	2020	CONF	2020 Latin American Robotics Symposium (LARS), 2020 Brazilian Symposium on Robotics (SBR) and 2020 Workshop on Robotics in Education (WRE)	
W. -C. Choi	2023	CONF	2023 IEEE Frontiers in Education Conference (FIE)	
