Primer Autor	Año Publicación	Tipo Producto	Journal	Afiliación	Publisher	Base Datos	Citaciones
H. Wu	2019	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
X. Wang	2019	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
Z. Wang	2020	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
A. Boutros	2022	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
K. Gao	2017	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
A. E. Youssef	2019	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
G. Shen	2019	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
K. Belwafi	2020	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
J. Wang	2020	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
W. J. Lee	2023	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
H. Qi	2021	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
N. U. Din	2022	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
X. Hong	2020	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
G. K. Koru	2024	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
C. Ko	2019	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
S. Zhong	2022	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
M. K. Nallakaruppan	2024	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
D. Mu	2018	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
Q. Huang	2023	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
O. A. Soysal	2023	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
L. Han	2023	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
S. Verma	2022	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
W. Liu	2021	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
J. Cao	2022	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
K. Ito	2024	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
L. Ketsbaia	2023	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
X. Zhang	2020	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
D. Ozkan	2024	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
S. -K. Kim	2024	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
A. León	2022	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
P. Sophatsathit	2020	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
L. Li	2024	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
M. Abdullah	2024	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
Zabeehullah	2024	JOUR	IEEE Access	No encontrado	No encontrado	No encontrado	0
D. Zeng	2013	JOUR	IEEE Intelligent Systems	No encontrado	No encontrado	No encontrado	0
F. J. García-Peñalvo	2018	JOUR	IEEE Revista Iberoamericana de Tecnologias del Aprendizaje	No encontrado	No encontrado	No encontrado	0
J. M. Wing	2011	CONF	2011 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)	No encontrado	No encontrado	No encontrado	0
C. Cahill	2016	CONF	2016 Research on Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)	No encontrado	No encontrado	No encontrado	0
C. Day	2011	JOUR	Computing in Science & Engineering	No encontrado	No encontrado	No encontrado	0
G. Booch	2016	JOUR	IEEE Software	No encontrado	No encontrado	No encontrado	0
G. K. Thiruvathukal	2009	JOUR	Computing in Science & Engineering	No encontrado	No encontrado	No encontrado	0
F. -Y. Wang	2009	JOUR	IEEE Intelligent Systems	No encontrado	No encontrado	No encontrado	0
A. Blackwell	2012	CONF	2012 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)	No encontrado	No encontrado	No encontrado	0
J. Gallant	2009	CONF	2009 4th International IEEE/EMBS Conference on Neural Engineering	No encontrado	No encontrado	No encontrado	0
K. Sengupta	2024	JOUR	IEEE Solid-State Circuits Magazine	No encontrado	No encontrado	No encontrado	0
K. C. Tan	2010	JOUR	IEEE Computational Intelligence Magazine	No encontrado	No encontrado	No encontrado	0
G. K. Thiruvathukal	2014	JOUR	Computing in Science & Engineering	No encontrado	No encontrado	No encontrado	0
G. Booch	2014	JOUR	IEEE Software	No encontrado	No encontrado	No encontrado	0
P. Poupart	2015	CONF	2015 Conference on Technologies and Applications of Artificial Intelligence (TAAI)	No encontrado	No encontrado	No encontrado	0
